grid_operator,treatment_group,variable,percent_sum
LN,Kontrollgruppe,children_u14,100
LN,Kontrollgruppe,ev_charging,100
LN,Kontrollgruppe,ev_status,100
LN,Kontrollgruppe,income,100
LN,Kontrollgruppe,ownership,100
LN,Kontrollgruppe,pv_capacity,100
LN,Kontrollgruppe,pv_status,100
LN,Treatment,children_u14,100
LN,Treatment,ev_charging,100
LN,Treatment,ev_status,100
LN,Treatment,income,100
LN,Treatment,ownership,100
LN,Treatment,pv_capacity,100
LN,Treatment,pv_status,100
NOE,Kontrollgruppe,children_u14,100
NOE,Kontrollgruppe,ev_charging,100
NOE,Kontrollgruppe,ev_status,100
NOE,Kontrollgruppe,income,100
NOE,Kontrollgruppe,ownership,100
NOE,Kontrollgruppe,pv_capacity,100
NOE,Kontrollgruppe,pv_status,100
NOE,Treatment,children_u14,100
NOE,Treatment,ev_charging,100
NOE,Treatment,ev_status,100
NOE,Treatment,income,100
NOE,Treatment,ownership,100
NOE,Treatment,pv_capacity,100
NOE,Treatment,pv_status,100
