Merkmal,Ausprägung,Kontrollgruppe,Treatment,p-Wert,SMD
N,,61,246,,
PV-Ausstattung (Survey) (%),Keine PV,23 (37.7),107 (43.5),0.501,0.164
,PV ohne Speicher,15 (24.6),45 (18.3),,
,PV mit Speicher,23 (37.7),94 (38.2),,
PV-Leistung (Survey) (%),Keine PV,23 (37.7),107 (43.5),0.531,0.226
,Unter 5 kWp,6 (9.8),13 (5.3),,
,5 bis 10 kWp,14 (23.0),56 (22.8),,
,Über 10 kWp,17 (27.9),69 (28.0),,
,Unbekannt,1 (1.6),1 (0.4),,
E-Fahrzeug (%),Kein E-Fahrzeug,42 (68.9),154 (62.6),0.447,0.132
,E-Fahrzeug,19 (31.1),92 (37.4),,
Ladeort des E-Fahrzeugs (%),Kein E-Fahrzeug,42 (68.9),154 (62.6),0.702,0.249
,Eigene Wallbox,15 (24.6),64 (26.0),,
,Normale Steckdose,1 (1.6),10 (4.1),,
,Am Arbeitsplatz,3 (4.9),14 (5.7),,
,Öffentliche Ladestation,0 (0.0),4 (1.6),,
Wohnfläche (m2) (Mittelwert (SD)),,153.80 (62.95),147.95 (66.12),0.532,0.091
Haushaltsgröße (Personen) (Mittelwert (SD)),,2.98 (1.26),2.91 (1.24),0.664,0.062
Eigentumsverhältnis (%),Eigentum,52 (85.2),214 (87.0),0.882,0.051
,Miete,9 (14.8),32 (13.0),,
Kinder unter 14 Jahren (%),Nein,33 (54.1),126 (51.2),0.815,0.095
,Ja,24 (39.3),98 (39.8),,
,Keine Angabe,4 (6.6),22 (8.9),,
Monatliches Netto-Haushaltseinkommen (%),bis zu 1.500 Euro,0 (0.0),2 (0.8),0.521,0.376
,1.501 bis 2.500 Euro,0 (0.0),9 (3.7),,
,2.501 bis 3.500 Euro,8 (13.1),32 (13.0),,
,3.501 bis 4.500 Euro,11 (18.0),39 (15.9),,
,4.501 bis 5.500 Euro,6 (9.8),33 (13.4),,
,über 5.500 Euro,18 (29.5),51 (20.7),,
,Keine Angabe,18 (29.5),80 (32.5),,
